,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2460271438,2007.0,0.0,0.0,0.0,2.0,0.0
1,W2130417404,2007.0,0.40372032502200994,5.0,0.0,3.0,0.0
2,W2085656972,2007.0,0.05499759947554891,0.0,0.0,2.0,0.0
3,W2148514039,2007.0,0.34712140673401004,9.0,0.0,3.0,0.0
4,W2110011309,2007.0,0.7114785853656099,6.0,0.0,3.0,0.0
5,W2168354087,2007.0,0.70923599208225,10.0,0.0,3.0,0.0
6,W2152362984,2007.0,0.75102311813281,6.0,0.0,3.0,0.0
7,W2055547475,2007.0,0.0,11.0,0.0,6.0,0.0
8,W2076238852,2007.0,0.0,2.0,0.0,2.0,0.0
9,W905019328,2007.0,0.81140568933636,0.0,0.0,4.0,0.0
10,W2126084192,2007.0,0.2020038193177225,9.0,0.0,4.0,0.0
11,W2139338328,2007.0,0.34100250769763996,132.0,0.0,3.0,0.0
12,W2145743319,2007.0,0.5106512448737957,158.0,0.0,2.0,0.0
13,W2135018259,2007.0,0.038610402922090004,80.0,0.0,2.0,0.0
14,W2019244629,2007.0,0.14063667024211363,14.0,0.0,3.0,0.0
15,W1992365724,2007.0,0.1324750125911689,8.0,0.0,3.0,0.0
16,W2101426591,2007.0,0.17509590837583688,6.0,0.0,4.0,0.0
17,W2056068730,2007.0,0.15043602344828888,4.0,1.0,3.0,0.0
18,W2062986680,2007.0,0.1233165622465764,4.0,0.0,1.0,0.0
19,W2064096951,2007.0,0.19543714016425287,4.0,0.0,1.0,0.0
20,W2032630233,2007.0,0.0676158973345249,109.0,0.0,5.0,0.0
21,W1989929440,2007.0,0.0150792530217121,41.0,0.0,3.0,0.0
22,W1555226725,2007.0,0.19462664545800998,1.0,0.0,4.0,0.0
23,W1481446446,2007.0,0.28423132882225005,0.0,0.0,2.0,0.0
24,W1544401712,2007.0,0.30975024001441,0.0,0.0,2.0,0.0
25,W2115948356,2007.0,0.0843702938299225,6.0,0.0,2.0,0.0
26,W2144530065,2007.0,0.34204835280099993,4.0,0.0,2.0,0.0
27,W2108158747,2007.0,0.18167354733124,3.0,0.0,3.0,0.0
28,W2123304898,2007.0,0.20090740767084161,2.0,0.0,2.0,0.0
29,W2119853749,2007.0,0.24457093915249958,30.0,0.0,1.0,0.0
30,W2112685185,2007.0,0.23062260094051237,13.0,0.0,5.0,0.0
31,W2121733155,2007.0,0.310827435361,8.0,0.0,2.0,0.0
32,W2083262527,2007.0,0.011832445736486117,5.0,0.0,2.0,0.0
33,W2132351872,2007.0,0.1653406701706816,0.0,0.0,3.0,0.0
34,W2063747225,2007.0,0.15007571505144487,318.0,0.0,2.0,0.0
35,W1988288407,2007.0,0.25590283811856,78.0,0.0,1.0,0.0
36,W1721450489,2007.0,0.1017181500518089,0.0,0.0,4.0,0.0
37,W2282300560,2007.0,0.21447385453876838,0.0,0.0,6.0,0.0
38,W2092998192,2007.0,0.14111316291610237,43.0,0.0,4.0,0.0
39,W2030837828,2007.0,0.0846339052896649,66.0,0.0,2.0,0.0
40,W9635385,2007.0,0.0794619269976064,1.0,0.0,3.0,0.0
41,W2148488947,2007.0,0.6530621851181169,4.0,0.0,2.0,0.0
42,W2075249800,2007.0,0.7459255234320401,6.0,0.0,2.0,0.0
43,W2127707321,2007.0,0.6999555129262335,6.0,0.0,2.0,0.0
44,W53697334,2007.0,0.44452849286208995,22.0,0.0,4.0,0.0
45,W96452501,2007.0,0.63440954190289,5.0,0.0,7.0,0.0
46,W110592620,2007.0,0.51551854321444,4.0,0.0,3.0,0.0
47,W2041859725,2007.0,0.61523865001225,47.0,0.0,4.0,0.0
48,W2168752517,2007.0,0.33802095997848997,3.0,0.0,5.0,0.0
49,W2037321574,2007.0,0.0,112.0,0.0,5.0,0.0
50,W2157936767,2007.0,0.2549998920180196,152.0,0.0,6.0,0.0
51,W2136048586,2007.0,0.1445435844756544,68.0,0.0,4.0,0.0
52,W2138321183,2007.0,0.11330670949678442,49.0,0.0,5.0,0.0
53,W2057964765,2007.0,0.2757113482617729,20.0,0.0,2.0,0.0
54,W1967732547,2007.0,0.11216892800569,3.0,0.0,2.0,0.0
55,W2026696970,2007.0,0.10342122150889,0.0,0.0,2.0,0.0
56,W2077091843,2007.0,0.048696608236686395,1.0,0.0,11.0,0.0
57,W2060976115,2007.0,0.0,0.0,0.0,3.0,0.0
58,W1957116440,2007.0,0.0,103.0,0.0,3.0,0.0
59,W2154298980,2007.0,0.0358271796068761,48.0,0.0,5.0,0.0
60,W2136040699,2007.0,0.1665894754759876,979.0,0.0,6.0,0.0
61,W2114582531,2007.0,0.2389930262669569,49.0,0.0,2.0,0.0
62,W2158579015,2007.0,0.47109930177822756,27.0,0.0,2.0,0.0
63,W2132080301,2007.0,0.28104046755625,21.0,0.0,2.0,0.0
64,W2129879643,2007.0,0.18563249803080997,18.0,0.0,5.0,0.0
65,W2100144083,2007.0,0.56230591674436,28.0,0.0,6.0,0.0
66,W2037846610,2007.0,0.29725732441161,43.0,0.0,4.0,0.0
67,W2042576467,2007.0,0.47208016314481,255.0,0.0,5.0,0.0
68,W2096822355,2007.0,0.5740811039059599,3.0,0.0,3.0,0.0
69,W2158609113,2007.0,0.556454829681,8.0,0.0,3.0,0.0
70,W2172251630,2007.0,0.1195650117174276,3.0,0.0,4.0,0.0
71,W2012058692,2007.0,0.56268616540081,2.0,0.0,3.0,0.0
72,W2139317467,2007.0,0.5962812570562499,5.0,0.0,3.0,0.0
73,W2021453815,2007.0,0.61497309048484,8.0,0.0,3.0,0.0
74,W2155828185,2007.0,0.71107646526225,12.0,0.0,2.0,0.0
75,W2166585963,2007.0,0.5327840385091249,14.0,0.0,3.0,0.0
76,W15181062,2007.0,0.2739979866763489,8.0,0.0,3.0,0.0
77,W2126492985,2007.0,0.0995678707858129,35.0,0.0,4.0,0.0
78,W2141353198,2007.0,0.148913407449,17.0,0.0,2.0,0.0
79,W2050408704,2007.0,0.2428575072330625,2.0,0.0,5.0,0.0
80,W2027625572,2007.0,0.5199826717310976,0.0,0.0,3.0,0.0
81,W2080283527,2007.0,0.0087840513394929,23.0,0.0,2.0,0.0
82,W143734304,2007.0,0.34345706391440994,1.0,0.0,6.0,0.0
83,W2166795021,2007.0,0.3917203292629225,0.0,0.0,5.0,0.0
84,W1969884874,2007.0,0.49973710230313956,13.0,0.0,5.0,0.0
85,W2141744648,2007.0,0.3534463492433316,8.0,0.0,4.0,0.0
86,W1510119754,2007.0,0.26237772887524,8.0,0.0,2.0,0.0
87,W2266382365,2007.0,0.15143927910399999,3.0,0.0,2.0,0.0
88,W2093815456,2007.0,0.5387048560938256,5.0,0.0,3.0,0.0
89,W1991059696,2007.0,0.31949325053027566,2.0,0.0,3.0,0.0
90,W1987095274,2007.0,0.16709980483326492,18.0,0.0,3.0,0.0
91,W2046405177,2007.0,0.09132667134118089,2.0,0.0,4.0,0.0
92,W1984764075,2007.0,0.13703820766435842,0.0,0.0,4.0,0.0
93,W1982740300,2007.0,0.1793859283008576,38.0,0.0,2.0,0.0
94,W2041299263,2007.0,0.15070599475569002,41.0,0.0,4.0,0.0
95,W2031760375,2007.0,0.1867465180215684,349.0,0.0,2.0,0.0
96,W2110086824,2007.0,0.0592989805309924,74.0,0.0,4.0,0.0
97,W2158515649,2007.0,0.37773316000000007,24.0,0.0,1.0,0.0
98,W1979343340,2007.0,0.15730118959537961,17.0,0.0,3.0,0.0
99,W2140747456,2007.0,0.42612943123881003,1.0,0.0,4.0,0.0
100,W2325146260,2007.0,0.35471644168217764,0.0,0.0,4.0,0.0
101,W2081156865,2007.0,0.15868545519276492,4.0,0.0,4.0,0.0
102,W81626777,2007.0,0.7615654953998401,6.0,0.0,6.0,0.0
103,W2100076126,2007.0,0.41795591432400997,68.0,0.0,1.0,0.0
104,W2166097216,2007.0,0.3098010775689729,18.0,0.0,6.0,0.0
105,W2153583780,2007.0,0.32145747557284005,9.0,0.0,4.0,0.0
106,W2102802005,2007.0,0.5087147211577601,6.0,0.0,3.0,0.0
107,W2101524999,2007.0,0.3661883198142016,2.0,0.0,4.0,0.0
108,W2091873483,2007.0,0.51058956258025,4.0,0.0,4.0,0.0
109,W1595789847,2007.0,0.5644495112321025,9.0,0.0,2.0,0.0
110,W1980591224,2007.0,0.31505271690162484,33.0,0.0,3.0,0.0
111,W2071508100,2007.0,0.3159455503213156,12.0,0.0,3.0,0.0
112,W2035675806,2007.0,0.33228330417603996,0.0,0.0,4.0,0.0
113,W2144221429,2007.0,0.44742506952256,6.0,0.0,3.0,0.0
114,W2131358981,2007.0,0.64049097412624,5.0,0.0,2.0,0.0
115,W2147748515,2007.0,0.2416111488757849,0.0,0.0,3.0,0.0
116,W2150778383,2007.0,0.58050364808241,1.0,0.0,3.0,0.0
117,W2093432603,2007.0,0.6243704462923225,70.0,0.0,4.0,0.0
118,W2010288389,2007.0,0.6864680091823225,29.0,0.0,2.0,0.0
119,W2143044817,2007.0,0.44936429599296,18.0,0.0,4.0,0.0
120,W1981536705,2007.0,0.6459383514684099,28.0,0.0,4.0,0.0
121,W2154721094,2007.0,0.5711771075587599,6.0,0.0,1.0,0.0
122,W2109975207,2007.0,0.6474650020344099,1.0,0.0,4.0,0.0
123,W2080540889,2007.0,0.011321762270212898,2.0,0.0,5.0,0.0
124,W2089515170,2007.0,0.021701944929639998,0.0,0.0,2.0,0.0
125,W2084400440,2007.0,0.0,22.0,0.0,4.0,0.0
126,W2134028652,2007.0,0.0,1.0,0.0,4.0,0.0
127,W2163729532,2007.0,0.35813684890552966,89.0,0.0,3.0,0.0
128,W2546976943,2007.0,0.3296392658208401,1.0,0.0,4.0,0.0
129,W2082418110,2007.0,0.13793694236587692,33.0,0.0,4.0,0.0
130,W3035629812,2007.0,0.1702261511774784,1.0,0.0,3.0,0.0
131,W2075753345,2007.0,0.11375223334806249,0.0,0.0,4.0,0.0
132,W2144635901,2007.0,0.0191374437454225,24.0,0.0,4.0,0.0
133,W2317162010,2007.0,0.0,0.0,0.0,3.0,0.0
134,W2037477515,2007.0,0.6256627280334024,31.0,0.0,23.0,0.0
135,W1964738875,2007.0,0.0,133.0,0.0,2.0,0.0
136,W2054003395,2007.0,0.25907550282916,9.0,0.0,3.0,0.0
137,W2099238986,2007.0,0.58103802082225,6.0,0.0,5.0,0.0
138,W2110431363,2007.0,0.30982622516652963,4.0,0.0,4.0,0.0
139,W2123773779,2007.0,0.2592518994736225,2.0,0.0,4.0,0.0
140,W2161443405,2007.0,0.30760079315329,0.0,0.0,3.0,0.0
141,W2066274011,2007.0,0.5231947590833208,10.0,0.0,4.0,0.0
142,W2030344726,2007.0,0.1879081355050384,14.0,0.0,4.0,0.0
143,W2000500586,2007.0,0.22130294538654088,167.0,0.0,3.0,0.0
144,W2089924734,2007.0,0.35897868539288996,16.0,0.0,1.0,0.0
145,W2075989773,2007.0,0.13678354877476,1.0,0.0,18.0,0.0
146,W3102131335,2007.0,0.0,18.0,1.0,17.0,0.0
147,W3098150361,2007.0,0.0,2.0,0.0,31.0,0.0
148,W2014267881,2007.0,0.6758800447781776,23.0,0.0,3.0,0.0
149,W2119883007,2007.0,0.45579552095168996,3.0,0.0,2.0,0.0
150,W2048030811,2007.0,0.8245631565811601,2.0,0.0,2.0,0.0
151,W1979921582,2007.0,0.78699839491849,8.0,0.0,11.0,0.0
152,W2004069250,2007.0,0.6728650695892608,4.0,0.0,5.0,0.0
153,W2048369939,2007.0,0.56937226296976,1.0,0.0,9.0,0.0
154,W2081966718,2007.0,0.6002693276702501,1.0,0.0,8.0,0.0
155,W1973401028,2007.0,0.30087704271076,0.0,0.0,7.0,0.0
156,W2126830763,2007.0,0.1850482765148644,18.0,0.0,5.0,0.0
157,W2163402243,2007.0,0.48084988023555997,28.0,0.0,2.0,0.0
158,W2130518071,2007.0,0.3971490654615696,21.0,0.0,2.0,0.0
159,W2134008095,2007.0,0.1102206667452004,7.0,0.0,2.0,0.0
160,W2151533263,2007.0,0.3445284277543935,70.0,0.0,2.0,0.0
161,W2048348465,2007.0,0.26458879048580247,2.0,0.0,2.0,0.0
162,W2103247703,2007.0,0.21153082165504003,1.0,0.0,4.0,0.0
163,W1998177734,2007.0,0.2512468106724676,0.0,0.0,2.0,0.0
164,W2073222867,2007.0,0.31329162784516,0.0,0.0,3.0,0.0
165,W2137028263,2007.0,0.46025338432685287,0.0,0.0,2.0,0.0
166,W2150259839,2007.0,0.4270895667368099,0.0,0.0,1.0,0.0
167,W2102197410,2007.0,0.3766492434523536,20.0,0.0,3.0,0.0
168,W2950761701,2007.0,0.268723008225,6.0,0.0,3.0,0.0
169,W1970219677,2007.0,0.4527917856938025,11.0,0.0,3.0,0.0
170,W2056298331,2007.0,0.2135832048093969,0.0,0.0,3.0,0.0
171,W3105849555,2007.0,0.09712472522256,6.0,1.0,1.0,0.0
172,W3106378871,2007.0,0.1811140210445049,3.0,1.0,1.0,0.0
173,W2002630532,2007.0,0.13887726437376,7.0,0.0,2.0,0.0
174,W1969068583,2007.0,0.28365572972356,5.0,0.0,2.0,0.0
175,W2036366631,2007.0,0.17658888253504001,0.0,0.0,2.0,0.0
176,W2034261952,2007.0,0.28297637736345765,6.0,0.0,2.0,0.0
177,W2073785340,2007.0,0.10323106820864641,3.0,0.0,2.0,0.0
178,W2022339979,2007.0,0.0,60.0,0.0,28.0,0.0
179,W1965038854,2007.0,0.3040545871911025,15.0,0.0,3.0,0.0
180,W2095959900,2007.0,0.18049103085036958,0.0,0.0,2.0,0.0
181,W2127191899,2007.0,0.24098524487015038,5.0,0.0,2.0,0.0
182,W2149446940,2007.0,0.38351155794561,3.0,0.0,2.0,0.0
183,W1660358638,2007.0,0.027741953779905605,0.0,0.0,1.0,0.0
184,W2083102955,2007.0,0.19513175386384,17.0,0.0,3.0,0.0
185,W2077207985,2007.0,0.23607921891842562,4.0,0.0,1.0,0.0
186,W2030555590,2007.0,0.0,85.0,0.0,3.0,0.0
187,W1984509660,2007.0,0.0179324398134436,9.0,0.0,8.0,0.0
188,W2056495822,2007.0,0.11555131712656001,3.0,0.0,4.0,0.0
189,W2023116314,2007.0,0.35527452961081,122.0,0.0,4.0,0.0
190,W1986394600,2007.0,0.6705412639189056,4.0,0.0,4.0,0.0
191,W1570142396,2007.0,0.33101841696400003,2.0,0.0,5.0,0.0
192,W11707747,2007.0,0.72223431442969,0.0,0.0,3.0,0.0
193,W2160124572,2007.0,0.29857563603056253,2.0,0.0,2.0,0.0
194,W2150022060,2007.0,0.12806993486596,0.0,0.0,2.0,0.0
195,W2331257656,2007.0,0.005961956239827024,2.0,0.0,2.0,0.0
196,W2185735645,2007.0,0.3637544219571249,0.0,0.0,3.0,0.0
197,W2188778203,2007.0,0.2528267054079376,0.0,0.0,3.0,0.0
198,W2127279971,2007.0,0.07075392521521001,0.0,0.0,6.0,0.0
199,W2116341598,2007.0,0.40728826303395993,30.0,0.0,2.0,0.0
200,W112145720,2007.0,0.0,15.0,0.0,2.0,0.0
201,W2099053672,2007.0,0.7978218532123875,0.0,0.0,4.0,0.0
202,W2078680016,2007.0,0.15623786695480962,8.0,0.0,5.0,0.0
203,W2138447301,2007.0,0.66651483809296,0.0,0.0,3.0,0.0
204,W2082502872,2007.0,0.0,34.0,0.0,10.0,0.0
205,W2151858302,2007.0,0.6858831062163601,1.0,0.0,3.0,0.0
206,W2118997683,2007.0,0.5701763875500625,1.0,0.0,4.0,0.0
207,W1990008321,2007.0,0.7555955624999999,2.0,0.0,4.0,0.0
208,W2534232429,2007.0,0.55276726868224,4.0,0.0,4.0,0.0
209,W2054608565,2007.0,0.79633813793284,73.0,0.0,8.0,0.0
210,W99703492,2007.0,0.6507899786118024,3.0,0.0,4.0,0.0
211,W2134054737,2007.0,0.5646770123260035,70.0,0.0,3.0,0.0
212,W1979128269,2007.0,0.41341286418961004,85.0,0.0,4.0,0.0
213,W2144491345,2007.0,0.46496019802400995,56.0,0.0,5.0,0.0
214,W1967411799,2007.0,0.48666808345600004,16.0,0.0,5.0,0.0
215,W1996586238,2007.0,0.755492994481,13.0,0.0,4.0,0.0
216,W2102673224,2007.0,0.411872583529,41.0,1.0,5.0,0.0
217,W1996861743,2007.0,0.833682818465029,5.0,0.0,4.0,0.0
218,W2112554542,2007.0,0.6620098868720099,11.0,0.0,4.0,0.0
219,W2105140351,2007.0,0.696350194576,4.0,0.0,3.0,0.0
220,W2129710305,2007.0,0.39059100073984,36.0,0.0,4.0,0.0
221,W139291598,2007.0,0.6292708515640835,0.0,0.0,5.0,0.0
222,W2084190902,2007.0,0.8279150983225599,23.0,0.0,4.0,0.0
223,W2106703944,2007.0,0.67100229909729,5.0,0.0,4.0,0.0
224,W2170145886,2007.0,0.56524925109636,33.0,0.0,3.0,0.0
225,W2015854460,2007.0,0.1906478177991696,2.0,0.0,2.0,0.0
226,W2138008839,2007.0,0.0073857351640899994,0.0,0.0,7.0,0.0
227,W2156562530,2007.0,0.005595461281529855,39.0,0.0,8.0,0.0
228,W2001656314,2007.0,0.0,28.0,0.0,7.0,0.0
229,W2095483864,2007.0,0.31897995004561,4.0,0.0,4.0,0.0
230,W1986312352,2007.0,0.36076072144896,2.0,0.0,5.0,0.0
231,W2035934068,2007.0,0.0,48.0,0.0,5.0,0.0
232,W2152995284,2007.0,0.25004387192457683,13.0,0.0,2.0,0.0
233,W2024815173,2007.0,0.5610064677133225,5.0,0.0,3.0,0.0
234,W2103683863,2007.0,0.28474304721424,13.0,0.0,2.0,0.0
235,W2173847071,2007.0,0.6388964761,1.0,0.0,2.0,0.0
236,W2174202970,2007.0,0.56359012765696,0.0,0.0,2.0,0.0
237,W2144495946,2007.0,0.5371826323049536,78.0,0.0,5.0,0.0
238,W2116578632,2007.0,0.5685853097923216,166.0,0.0,5.0,0.0
239,W1737402946,2007.0,0.7329712476787601,14.0,0.0,5.0,0.0
240,W2157587020,2007.0,0.5659237540233216,52.0,0.0,2.0,0.0
241,W2160860415,2007.0,0.6295723604595216,9.0,0.0,2.0,0.0
242,W2000420302,2007.0,0.6786945507726401,3.0,0.0,4.0,0.0
243,W2067690956,2007.0,0.63244896507556,15.0,0.0,5.0,0.0
244,W2123932640,2007.0,0.7362334138362024,4.0,0.0,2.0,0.0
245,W2134971990,2007.0,0.0602345644938361,2.0,0.0,3.0,0.0
246,W1982387209,2007.0,0.0,3.0,0.0,7.0,0.0
247,W2171297148,2007.0,0.14643896168143358,109.0,0.0,4.0,0.0
248,W2087101991,2007.0,0.13658717371208037,4.0,0.0,5.0,0.0
249,W2028477712,2007.0,0.0514170273154329,21.0,0.0,6.0,0.0
250,W1989682273,2007.0,0.3141205230159936,14.0,0.0,5.0,0.0
251,W2058940932,2007.0,0.25187580550729005,9.0,0.0,5.0,0.0
252,W2105938411,2007.0,0.24523892627328162,6.0,0.0,7.0,0.0
253,W2078962486,2007.0,0.1926163302757929,4.0,0.0,4.0,0.0
